time,open,high,low,close,EMA 9,EMA 21,EMA 50,Selected long,Selected short,V4 long candidate,V4 short candidate,V2 candidate rejected by V3,CB bounded net,CB confidence,CB available votes,CB ATR %,CB structure pass,CB V2 candidate,CB stop-distance pass,CB extension pass,CB direct-risk pass,CB kill switch,CB V4 candidate,CB V4 blocked open position
1681738200,395.80677212,397.33290828,394.57338535,397.3137116,393.6486348841493,389.3445830029493,385.1127907311335,0,0,0,0,0,2,0.25,8,1.2005160391380403,1,0,1,0,0,0,0,0
1681824600,398.88783946,399.02221623,396.20049606,397.5728668,394.43348126731945,390.0926088026812,385.60142116520666,0,0,0,0,0,-1,0.125,8,1.1647337133205522,1,0,1,0,0,0,0,0
1681911000,395.66279701,398.40792243,395.60520697,397.50567841,395.04792069585557,390.76652422152836,386.06825478264955,0,0,0,0,0,2,0.25,8,1.1320837963920383,1,0,1,1,1,0,0,0
1681997400,394.69336461,397.08335143,393.79112059,395.33645343,395.1056272426845,391.18197233138943,386.4317135531339,0,0,0,0,0,-2,0.25,8,1.12410261392431,1,0,1,1,1,0,0,0
1682083800,395.63400199,396.10432068,393.69513719,395.64360033,395.2132218601476,391.58757487671767,386.79296401497174,0,0,0,0,0,0,0,8,1.0864940735304223,1,0,1,1,1,0,0,0
1682343000,395.44203518,396.47865597,394.10786583,396.05632898,395.3818432841181,391.99382524974334,387.15623322928656,0,0,0,0,0,2,0.25,8,1.0505930846208997,1,0,1,1,1,0,0,0
1682429400,394.08866915,394.64537291,389.71182583,389.76941587,394.25935780129447,391.79160621522124,387.2587109799028,0,0,0,0,0,0,0,8,1.1075546195539827,0,0,1,1,1,0,0,0
1682515800,390.38370967,391.45872382,387.56179753,388.11850129,393.0311864990356,391.45768758565566,387.2924282469654,0,0,0,0,0,-3,0.375,8,1.1045364700751115,0,0,1,1,1,0,0,0
1682602200,390.65246321,396.11391902,390.40290635,395.84516549,393.5939822972285,391.8565492133233,387.62782970747656,0,0,0,0,0,3,0.375,8,1.1498950023491081,1,0,1,1,1,0,0,0
1682688600,394.96211815,399.23337972,394.90452811,399.22378138,394.7199421137828,392.5262975921121,388.0825729103206,1,0,1,0,0,7,0.875,8,1.1361744545095194,1,1,1,1,1,0,1,0
1682947800,398.78225772,400.84590095,398.58549173,398.82065108,395.54008390702626,393.09851154555645,388.5036740150139,0,0,0,0,0,1,0.125,8,1.0965693676909494,1,0,1,1,1,0,0,0
