time,open,high,low,close,Session VWAP,EMA 9,EMA 20,Long Fast-Alpha Signal,Short Fast-Alpha Signal
1779994800,752.29239067,752.45197963,752.17269895,752.43203101,751.1341782455166,752.4850336812598,752.5070401561911,0,0
1779995100,752.43203101,752.56169705,752.4220567,752.43203101,751.1466432044635,752.4744331470079,752.4998964279824,0,0
1779995400,752.44200532,752.58164567,752.26246774,752.31233929,751.1580640703218,752.4420143756063,752.4820338434126,0,0
1779995700,752.30236498,752.48190256,752.25249343,752.38215946,751.1656160138187,752.430043392485,752.4725219973733,0,0
1779996000,752.37218515,752.6115686,752.30236498,752.60159429,751.1760174512483,752.464353571988,752.4848145966711,0,0
1779996300,752.60159429,752.83100342,752.59660713,752.82102911,751.2113098327228,752.5356886795904,752.5168350265119,0,0
1779996600,752.82102911,753.1102841,752.78113187,753.00056669,751.2563889728607,752.6286642816723,752.5629047087489,0,0
1779996900,753.010541,753.2100272,752.89084928,753.19007858,751.2888579447971,752.7409471413379,752.62263555363,0,0
1779997200,753.20005289,753.20005289,752.76118325,752.77115756,751.3353693697413,752.7469892250703,752.6367805066176,0,0
1779997500,752.77115756,753.010541,752.72128601,752.75120894,751.3728870013869,752.7478331680562,752.647678452654,0,0
1779997800,752.68138877,752.89084928,752.51182549,752.76118325,751.4315538984151,752.7505031844449,752.6584884333536,0,0
1779998100,752.79110618,752.89084928,752.56169705,752.70133739,751.5077034709986,752.7406700255559,752.6625692863676,0,0
1780061400,753.95810046,754.34709855,753.55912806,754.06781787,753.99134816,753.0060995944448,752.7964024848087,0,0
1780061700,754.07779218,754.7859682,754.01794632,754.73609665,754.225139715329,753.3520990055558,752.981135262446,0,0
1780062000,754.77599389,755.53404145,754.62637924,755.52406714,754.5689193150395,753.7864926324447,753.2233192507845,0,0
1780062300,755.52406714,755.78339921,755.34452956,755.68365611,754.8274076060818,754.1659253279557,753.4576370469002,0,0
1780062600,755.68365611,755.95794963,755.40437542,755.95296248,754.9800055649852,754.5233327583646,753.6952870881478,0,0
1780062900,755.95296248,755.95296248,755.62381025,755.88314231,755.0522646094553,754.7952946686917,753.9036542521337,1,0
1780063200,755.873168,756.13250006,755.60386163,755.75347628,755.1504493035407,754.9869309909533,754.0798277785972,0,0
1780063500,755.74350197,755.85321938,755.31460663,755.37445249,755.1808100917539,755.0644352907626,754.2031253701593,1,0
1780063800,755.37445249,755.80334783,755.24478646,755.36447818,755.2051676086139,755.1244438686101,754.313730399668,0,0
1780064100,755.34452956,755.37445249,754.54658475,754.79594251,755.1794485543674,755.0587435968881,754.3596553625567,0,0
1780064400,754.7859682,755.01537733,754.33712424,754.33712424,755.1019832314753,754.9144197255105,754.3575095413609,0,0
1780064700,754.30720131,754.72612234,753.90822891,754.67625079,755.0412340623277,754.8667859384084,754.387865850755,0,0
1780065000,754.66627648,754.95553147,754.26730407,754.95054431,755.0327359061383,754.8835376127267,754.441454275445,0,0
1780065300,754.96550578,755.01537733,753.68879409,753.68879409,755.0019447805387,754.6445889081814,754.3697723530217,0,0
1780065600,753.6987684,753.9979977,753.16015565,753.22997582,754.9248219129598,754.3616662905451,754.2612203022578,0,0
1780065900,753.16015565,753.36961616,752.7661704,753.07038686,754.8234865386861,754.1034104044361,754.1478075934714,0,0
1780066200,753.03048962,754.7859682,752.96066945,753.87830598,754.7044656903664,754.0583895195489,754.1221407731408,0,1
1780066500,753.88828029,754.586482,753.88828029,754.10771511,754.692044528076,754.0682546376391,754.1207669004607,0,1
1780066800,754.13763804,754.44684165,753.94812615,754.38699579,754.6862889425929,754.1320028681113,754.1461220327977,0,0
1780067100,754.38699579,754.82586544,754.05784356,754.77499646,754.6827909447999,754.260601586489,754.2060148353884,0,0
1780067400,754.75604527,755.37445249,754.75604527,755.36447818,754.7015920405805,754.4813769051912,754.3163446777323,0,0
1780067700,755.39440111,755.47419559,754.91563423,754.92560854,754.7105981188524,754.5702232321529,754.3743698074721,1,0
1780068000,754.91563423,755.05527457,754.35707286,754.94555716,754.7112691606019,754.6452900177223,754.428768602951,0,0
1780068300,754.92560854,755.32458094,754.54658475,754.84581406,754.7147332196682,754.6853948261779,754.468487217908,0,0
1780068600,754.81589113,755.29465801,754.77599389,755.06524888,754.7210705013264,754.7613656369423,754.5253216619168,0,0
1780068900,755.05028741,755.36447818,754.81589113,755.21486353,754.7264772525004,754.8520652155538,754.59099231602,0,0
1780069200,755.22483784,755.39440111,754.56653338,754.76601958,754.7300476596531,754.8348560884431,754.6076615792562,0,0
1780069500,754.76601958,754.90565992,754.34709855,754.69619941,754.7287911203244,754.8071247527545,754.6160937536127,0,0
1780069800,754.72612234,754.93558285,754.4967132,754.74607096,754.7287586347531,754.7949139942036,754.6284725351734,0,0
1780070100,754.71614803,754.79594251,754.37702148,754.46679027,754.7268456663938,754.7292892493629,754.6130742242045,0,0
1780070400,754.53661044,755.02535164,754.3969701,754.97548009,754.7277896511597,754.7785274174903,754.647589068566,0,0
